data,algorithm,rmse,r2
PER 종가,gru,920.7160676088633,0.9822516943911523
WMA MA20 종가,gru,928.4169429218688,0.9819535588876007
WMA MA5 종가,gru,928.7496981242566,0.9819406204694705
foreign_보유수량 종가,gru,928.9600182688009,0.9819324402646474
WMA 종가,gru,934.9773766084082,0.9816976161734803
MA20 종가,lstmgru,936.1000093321363,0.9816536382315881
WMA PER 종가,gru,938.683097503578,0.9815522480931308
PER 종가,lstmgru,946.0746907002975,0.981260573193208
WMA RSI 종가,gru,956.7207120736101,0.9808364569741228
PER foreign_보유수량 종가,lstmgru,959.9358414052755,0.9807074395996016
WMA PER 종가,lstmgru,961.6876799138553,0.9806369592858742
WMA MOM 종가,gru,965.3573939544461,0.980488902079572
WMA foreign_보유수량 종가,gru,967.3227794659496,0.9804093753367359
MA5 foreign_보유수량 종가,lstmgru,967.384591982428,0.9804068715509766
MA5 PER 종가,gru,969.4612402028696,0.9803226615947631
RSI 종가,gru,974.8175001680686,0.9801046268887683
MA5 MA20 종가,gru,976.5449917417588,0.9800340505143413
PER foreign_보유수량 종가,lstm,987.3433679142723,0.9795900528327599
PER MA20 종가,gru,995.1171306528537,0.9792673956942599
PER MA20 종가,lstmgru,997.6337013276823,0.9791624009440818
foreign_보유수량 RSI 종가,lstmgru,1000.8149485779569,0.9790292954837493
foreign_보유수량 MA20 종가,lstmgru,1001.862426251217,0.978985375596133
MA20 종가,gru,1004.8891605285781,0.978858208907074
WMA MA20 종가,lstm,1007.043313117472,0.9787674696294519
MOM 종가,gru,1010.3651076927564,0.9786271649826965
foreign_보유수량 MOM 종가,gru,1018.964149595384,0.9782618158877286
RSI MA20 종가,gru,1024.288207598699,0.9780340596706506
RSI MOM 종가,lstm,1024.4648805831869,0.9780264814853458
WMA foreign_보유수량 종가,lstmgru,1036.9442309029746,0.9774878873482336
MOM MA20 종가,gru,1037.422532575104,0.9774671146506577
PER MOM 종가,lstm,1037.5838451898826,0.9774601066647364
WMA MOM 종가,lstmgru,1040.5936645815839,0.9773291497211886
MA5 RSI 종가,lstmgru,1041.0308177314741,0.9773100976825786
foreign_보유수량 RSI 종가,lstm,1042.6181237637265,0.9772408523237152
MA5 RSI 종가,gru,1052.6404909487956,0.9768011959246335
WMA MA5 종가,lstmgru,1055.2579925222753,0.9766856799367015
foreign_보유수량 RSI 종가,gru,1055.2760558565146,0.9766848817660869
foreign_보유수량 종가,lstmgru,1055.7423865017697,0.9766642711279849
WMA foreign_보유수량 종가,lstm,1057.3582512668754,0.976592783539686
MOM 종가,lstm,1066.1640640343917,0.9762012835723494
MA5 MA20 종가,lstmgru,1067.0751008004816,0.9761605942079222
WMA RSI 종가,lstm,1070.0935826316647,0.9760255323182563
PER MOM 종가,lstmgru,1073.3084624391865,0.9758812630478411
RSI MOM 종가,gru,1073.3094662748274,0.9758812179326484
MA5 foreign_보유수량 종가,gru,1075.7973964912167,0.9757692737165199
MA5 PER 종가,lstm,1077.2586868429444,0.9757034022528969
foreign_보유수량 종가,lstm,1083.2687087124652,0.9754315447748345
MA5 RSI 종가,lstm,1090.9599625915375,0.9750814321112846
PER RSI 종가,lstm,1095.227917953408,0.9748860823860056
WMA RSI 종가,lstmgru,1100.3048006297395,0.9746527137463642
foreign_보유수량 MOM 종가,lstm,1100.4869199438651,0.9746443222308179
WMA 종가,lstm,1105.0708703894193,0.9744326500376254
foreign_보유수량 MA20 종가,gru,1116.1976229551497,0.9739151922339079
MOM MA20 종가,lstmgru,1122.1403911920968,0.9736366956208719
MA5 종가,lstmgru,1125.899569266648,0.9734597652533122
WMA MA5 종가,lstm,1129.1189829706568,0.9733077691824508
RSI 종가,lstmgru,1130.1373616192577,0.9732595987827731
PER MOM 종가,gru,1138.425275464033,0.9728659567582646
MA5 foreign_보유수량 종가,lstm,1141.6527181680656,0.9727118883137422
PER RSI 종가,gru,1147.840926652879,0.9724152618917602
MA5 종가,gru,1151.2342566849861,0.9722519248339931
WMA 종가,lstmgru,1156.4382826997135,0.9720004936763804
WMA MA20 종가,lstmgru,1157.5281108795457,0.9719476953040281
PER foreign_보유수량 종가,gru,1166.7855408007665,0.9714971996351036
MA5 MOM 종가,gru,1169.5888610233412,0.9713600733839552
RSI 종가,lstm,1170.6732884456717,0.9713069396357127
PER 종가,lstm,1175.3606448903845,0.9710767065556131
PER MA20 종가,lstm,1178.042600660381,0.9709445607407708
RSI MA20 종가,lstm,1178.5953938437005,0.9709172859763546
MA5 MA20 종가,lstm,1187.3076064516827,0.9704857362415662
MA5 MOM 종가,lstm,1190.722108186768,0.9703157357924739
WMA PER 종가,lstm,1198.0047482174518,0.9699515183082468
WMA MOM 종가,lstm,1202.691316157627,0.9697159604745622
MOM 종가,lstmgru,1212.8652512924598,0.9692014293740777
MOM MA20 종가,lstm,1244.6925773289677,0.9675638236303882
RSI MOM 종가,lstmgru,1245.8641549782758,0.9675027332301143
PER RSI 종가,lstmgru,1248.8545098784803,0.9673465444746561
foreign_보유수량 MOM 종가,lstmgru,1262.7612812595285,0.966615262322664
MA20 종가,lstm,1294.1965670024072,0.9649324083397095
MA5 PER 종가,lstmgru,1340.3088111638676,0.9623889724097433
MA5 MOM 종가,lstmgru,1367.7768743615088,0.9608315877470609
MA5 종가,lstm,1490.1846233563263,0.9535072099208461
foreign_보유수량 MA20 종가,lstm,1580.121406206396,0.947725923745286
RSI MA20 종가,lstmgru,1753.8837766255656,0.9355968550162741
