n_neighbors,weights,metric,leaf_size,RMSE,R2
15,uniform,euclidean,50,1000.0320436854947,0.9787666579851081
15,uniform,minkowski,30,1000.0320436854947,0.9787666579851081
15,uniform,minkowski,50,1000.0320436854947,0.9787666579851081
15,uniform,manhattan,50,1000.0320436854947,0.9787666579851081
15,uniform,manhattan,30,1000.0320436854947,0.9787666579851081
15,uniform,euclidean,30,1000.0320436854947,0.9787666579851081
15,uniform,minkowski,20,1004.9638617448561,0.9785567103149797
15,uniform,euclidean,20,1004.9638617448561,0.9785567103149797
15,uniform,manhattan,20,1004.9638617448561,0.9785567103149797
15,uniform,euclidean,10,1009.0668153979605,0.9783812603784803
15,uniform,minkowski,10,1009.0668153979605,0.9783812603784803
15,uniform,manhattan,10,1009.0668153979605,0.9783812603784803
10,uniform,manhattan,30,1009.999589737896,0.9783412734803818
10,uniform,manhattan,50,1009.999589737896,0.9783412734803818
10,uniform,euclidean,50,1009.999589737896,0.9783412734803818
10,uniform,euclidean,30,1009.999589737896,0.9783412734803818
10,uniform,minkowski,50,1009.999589737896,0.9783412734803818
10,uniform,minkowski,30,1009.999589737896,0.9783412734803818
10,uniform,minkowski,10,1012.022754313666,0.9782544159082984
10,uniform,euclidean,10,1012.022754313666,0.9782544159082984
10,uniform,manhattan,10,1012.022754313666,0.9782544159082984
10,uniform,minkowski,20,1028.773206004251,0.9775286164638658
10,uniform,euclidean,20,1028.773206004251,0.9775286164638658
10,uniform,manhattan,20,1028.773206004251,0.9775286164638658
20,uniform,manhattan,50,1053.5602296302584,0.9764327309753726
20,uniform,manhattan,30,1053.5602296302584,0.9764327309753726
20,uniform,euclidean,50,1053.5602296302584,0.9764327309753726
20,uniform,minkowski,30,1053.5602296302584,0.9764327309753726
20,uniform,minkowski,50,1053.5602296302584,0.9764327309753726
20,uniform,euclidean,30,1053.5602296302584,0.9764327309753726
20,uniform,manhattan,10,1053.7880892364333,0.9764225358119805
20,uniform,euclidean,10,1053.7880892364333,0.9764225358119805
20,uniform,minkowski,10,1053.7880892364333,0.9764225358119805
20,uniform,minkowski,20,1054.4992068977888,0.9763907039693112
20,uniform,manhattan,20,1054.4992068977888,0.9763907039693112
20,uniform,euclidean,20,1054.4992068977888,0.9763907039693112
25,uniform,euclidean,10,1120.2444484617597,0.9733549755191905
25,uniform,minkowski,10,1120.2444484617597,0.9733549755191905
25,uniform,manhattan,10,1120.2444484617597,0.9733549755191905
25,uniform,manhattan,20,1120.5621320179916,0.9733398611638014
25,uniform,minkowski,20,1120.5621320179916,0.9733398611638014
25,uniform,euclidean,20,1120.5621320179916,0.9733398611638014
25,uniform,minkowski,50,1121.1297577451317,0.9733128446992979
25,uniform,minkowski,30,1121.1297577451317,0.9733128446992979
25,uniform,euclidean,30,1121.1297577451317,0.9733128446992979
25,uniform,euclidean,50,1121.1297577451317,0.9733128446992979
25,uniform,manhattan,30,1121.1297577451317,0.9733128446992979
25,uniform,manhattan,50,1121.1297577451317,0.9733128446992979
20,distance,manhattan,50,1172.9331610682075,0.9707896303815269
20,distance,minkowski,30,1172.9331610682075,0.9707896303815269
20,distance,minkowski,50,1172.9331610682075,0.9707896303815269
20,distance,euclidean,30,1172.9331610682075,0.9707896303815269
20,distance,euclidean,50,1172.9331610682075,0.9707896303815269
20,distance,manhattan,30,1172.9331610682075,0.9707896303815269
20,distance,manhattan,10,1172.9999992827097,0.9707863012496688
20,distance,euclidean,10,1172.9999992827097,0.9707863012496688
20,distance,minkowski,10,1172.9999992827097,0.9707863012496688
20,distance,minkowski,20,1173.096959586117,0.9707814714352332
20,distance,euclidean,20,1173.096959586117,0.9707814714352332
20,distance,manhattan,20,1173.096959586117,0.9707814714352332
25,distance,manhattan,50,1176.754672989207,0.9705989807765457
25,distance,manhattan,30,1176.754672989207,0.9705989807765457
25,distance,euclidean,50,1176.754672989207,0.9705989807765457
25,distance,euclidean,30,1176.754672989207,0.9705989807765457
25,distance,minkowski,50,1176.754672989207,0.9705989807765457
25,distance,minkowski,30,1176.754672989207,0.9705989807765457
25,distance,manhattan,20,1176.903648912233,0.9705915360281512
25,distance,euclidean,20,1176.903648912233,0.9705915360281512
25,distance,minkowski,20,1176.903648912233,0.9705915360281512
25,distance,euclidean,10,1176.9354729735646,0.9705899455675974
25,distance,minkowski,10,1176.9354729735646,0.9705899455675974
25,distance,manhattan,10,1176.9354729735646,0.9705899455675974
15,distance,manhattan,30,1178.5675195550846,0.9705083236613574
15,distance,manhattan,50,1178.5675195550846,0.9705083236613574
15,distance,minkowski,50,1178.5675195550846,0.9705083236613574
15,distance,minkowski,30,1178.5675195550846,0.9705083236613574
15,distance,euclidean,50,1178.5675195550846,0.9705083236613574
15,distance,euclidean,30,1178.5675195550846,0.9705083236613574
15,distance,manhattan,10,1179.350400018422,0.9704691301060054
15,distance,euclidean,10,1179.350400018422,0.9704691301060054
15,distance,minkowski,10,1179.350400018422,0.9704691301060054
15,distance,manhattan,20,1179.3989113201112,0.9704667006153259
15,distance,euclidean,20,1179.3989113201112,0.9704667006153259
15,distance,minkowski,20,1179.3989113201112,0.9704667006153259
30,distance,minkowski,30,1192.9190177741739,0.9697857062396629
30,distance,minkowski,50,1192.9190177741739,0.9697857062396629
30,distance,euclidean,30,1192.9190177741739,0.9697857062396629
30,distance,euclidean,50,1192.9190177741739,0.9697857062396629
30,distance,manhattan,50,1192.9190177741739,0.9697857062396629
30,distance,manhattan,30,1192.9190177741739,0.9697857062396629
30,distance,manhattan,20,1192.9900721748318,0.969782106795879
30,distance,euclidean,20,1192.9900721748318,0.969782106795879
30,distance,minkowski,20,1192.9900721748318,0.969782106795879
30,distance,minkowski,10,1195.1117544271847,0.9696745287361269
30,distance,manhattan,10,1195.1117544271847,0.9696745287361269
30,distance,euclidean,10,1195.1117544271847,0.9696745287361269
10,distance,manhattan,50,1197.0291717061386,0.9695771433207803
10,distance,manhattan,30,1197.0291717061386,0.9695771433207803
10,distance,minkowski,30,1197.0291717061386,0.9695771433207803
10,distance,minkowski,50,1197.0291717061386,0.9695771433207803
10,distance,euclidean,30,1197.0291717061386,0.9695771433207803
10,distance,euclidean,50,1197.0291717061386,0.9695771433207803
10,distance,minkowski,10,1197.486596041777,0.9695538877239332
10,distance,manhattan,10,1197.486596041777,0.9695538877239332
10,distance,euclidean,10,1197.486596041777,0.9695538877239332
10,distance,manhattan,20,1200.2043279771099,0.969415534163507
10,distance,minkowski,20,1200.2043279771099,0.969415534163507
10,distance,euclidean,20,1200.2043279771099,0.969415534163507
30,uniform,manhattan,30,1223.1928452407874,0.968232693951561
30,uniform,manhattan,50,1223.1928452407874,0.968232693951561
30,uniform,euclidean,50,1223.1928452407874,0.968232693951561
30,uniform,euclidean,30,1223.1928452407874,0.968232693951561
30,uniform,minkowski,50,1223.1928452407874,0.968232693951561
30,uniform,minkowski,30,1223.1928452407874,0.968232693951561
30,uniform,manhattan,20,1224.245135180407,0.9681780128019538
30,uniform,euclidean,20,1224.245135180407,0.9681780128019538
30,uniform,minkowski,20,1224.245135180407,0.9681780128019538
30,uniform,manhattan,10,1228.1804280740828,0.9679731026768034
30,uniform,euclidean,10,1228.1804280740828,0.9679731026768034
30,uniform,minkowski,10,1228.1804280740828,0.9679731026768034
