algorithm,rmse,r2,optimizer,batch
gru,902.1485358822272,0.9829603154268837,nadam,16
gru,903.2742803742902,0.9829177630120416,nadam,32
gru,903.4170295364078,0.9829123633947767,nadam,64
gru,903.4942694655527,0.98290944136825,adamax,16
gru,903.7177876718114,0.9829009841512748,adamax,32
gru,903.7952344037606,0.9828980533256158,nadam,128
gru,904.8450165273122,0.9828583015237911,adam,128
gru,905.0966846910394,0.9828487648194104,adam,32
gru,905.8168528728459,0.9828214601389266,adam,16
gru,906.2380939424695,0.9828054790074899,adam,64
lstmgru,907.0604449895585,0.9827742590710009,adamax,16
lstmgru,909.170833603626,0.9826940101799448,adam,64
gru,910.1859009988126,0.9826553451639037,adamax,64
gru,910.858783508512,0.9826296905610321,adamax,128
lstm,911.9774082532462,0.9825869994439839,nadam,64
lstmgru,912.1299022146784,0.9825811756167329,adam,32
lstmgru,912.5995012682433,0.9825632352574121,adamax,32
lstmgru,913.2666300012168,0.9825377326824605,adam,16
lstm,913.5908018289408,0.9825253337190102,adam,32
lstm,914.6095845696591,0.9824863385480028,nadam,32
lstm,916.2392637956407,0.9824238701922974,adam,16
lstm,917.0961064748702,0.9823909813594423,adamax,16
lstm,918.4774665678053,0.982337894851816,nadam,16
lstmgru,920.5294805477606,0.9822588872028002,adamax,64
lstm,922.3139701091264,0.9821900365742716,adamax,32
lstmgru,925.5828642804729,0.9820635675883799,nadam,32
lstmgru,926.4240694486712,0.9820309501391978,adam,128
lstmgru,934.6741307927018,0.9817094864527033,adamax,128
lstmgru,942.2853433850531,0.9814103879752679,nadam,64
lstmgru,953.9573018260717,0.9809470017755392,nadam,128
lstmgru,967.7017339507556,0.9803940228413263,nadam,16
lstm,2006.9840619879287,0.9156678250239156,nadam,128
lstm,2183.9690683222047,0.9001384229842601,adam,128
lstm,2232.4412993166175,0.8956564639393935,adamax,128
lstm,2331.426186737384,0.8861982883282776,adam,64
lstm,2434.0138943802913,0.8759629125318797,adamax,64
